"theme","fundersTop10","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"child","Comic Relief",2015,31,10540925,1562392,340029.838709677
"child","Comic Relief",2016,20,5619712,886365,280985.6
"child","Comic Relief",2017,6,4330049,2500000,721674.833333333
"child","Esmée Fairbairn Foundation",2008,17,1104683.33,237413,64981.3723529412
"child","Esmée Fairbairn Foundation",2009,21,1518164,3e+05,72293.5238095238
"child","Esmée Fairbairn Foundation",2010,9,844613,3e+05,93845.8888888889
"child","Esmée Fairbairn Foundation",2011,19,1918967,9e+05,100998.263157895
"child","Esmée Fairbairn Foundation",2012,27,3122584.41,692055,115651.274444444
"child","Esmée Fairbairn Foundation",2013,28,2924447,499974,104444.535714286
"child","Esmée Fairbairn Foundation",2014,14,2180314,387251,155736.714285714
"child","Esmée Fairbairn Foundation",2015,21,2066985,3e+05,98427.8571428571
"child","Esmée Fairbairn Foundation",2016,25,2911401,250000,116456.04
"child","Esmée Fairbairn Foundation",2017,20,3070152,499895,153507.6
"child","Ministry of Justice",2012,89,2133369,170000,23970.4382022472
"child","Northern Rock Foundation",2004,8,379462,112523,47432.75
"child","Northern Rock Foundation",2005,8,369588,99218,46198.5
"child","Northern Rock Foundation",2006,10,504805,134463,50480.5
"child","Northern Rock Foundation",2007,9,586840,292693,65204.4444444444
"child","Northern Rock Foundation",2008,8,820780,233252,102597.5
"child","Northern Rock Foundation",2009,5,520216,133108,104043.2
"child","Northern Rock Foundation",2010,10,1019835,270000,101983.5
"child","Northern Rock Foundation",2011,6,236543,127323,39423.8333333333
"child","Northern Rock Foundation",2012,6,368525,109663,61420.8333333333
"child","Northern Rock Foundation",2013,4,86225,60000,21556.25
"child","Northern Rock Foundation",2014,1,60000,60000,60000
"child","others",2004,24,137550,70000,5731.25
"child","others",2005,43,176222,35000,4098.18604651163
"child","others",2006,28,131269,35000,4688.17857142857
"child","others",2007,43,145700,25000,3388.37209302326
"child","others",2008,38,150814.68,30000,3968.80736842105
"child","others",2009,43,148062,30000,3443.3023255814
"child","others",2010,76,867378,44400,11412.8684210526
"child","others",2011,45,549117,40000,12202.6
"child","others",2012,177,4049402,3e+05,22877.9774011299
"child","others",2013,433,16370917.44,1800000,37808.1234180139
"child","others",2014,628,26879901.79,1e+06,42802.3913853503
"child","others",2015,1003,35848359.94,1500000,35741.1365304088
"child","others",2016,694,16576499.41,1500000,23885.4458357349
"child","others",2017,2139,16376280.16,3360000,7656.04495558672
"child","Paul Hamlyn Foundation",2006,9,111130.52,50000,12347.8355555556
"child","Paul Hamlyn Foundation",2007,10,545493,180120,54549.3
"child","Paul Hamlyn Foundation",2008,9,547062,234000,60784.6666666667
"child","Paul Hamlyn Foundation",2009,8,627355,142000,78419.375
"child","Paul Hamlyn Foundation",2010,13,1200357,150000,92335.1538461538
"child","Paul Hamlyn Foundation",2011,6,657196,181100,109532.666666667
"child","Paul Hamlyn Foundation",2012,17,1643788,262738,96693.4117647059
"child","Paul Hamlyn Foundation",2013,9,1106576,227499,122952.888888889
"child","Paul Hamlyn Foundation",2014,6,457362,120000,76227
"child","Paul Hamlyn Foundation",2015,15,882133,153254,58808.8666666667
"child","Paul Hamlyn Foundation",2016,30,3212106,388000,107070.2
"child","Sport England",2009,5,43430,25000,8686
"child","Sport England",2010,4,32073,12500,8018.25
"child","Sport England",2011,5,41041,12442,8208.2
"child","Sport England",2012,6,23163,10000,3860.5
"child","Sport England",2014,4,1596787,1538076,399196.75
"child","Sport England",2017,5,331973,246303,66394.6
"child","The Big Lottery Fund",2004,2094,82669161,1.7e+07,39479.064469914
"child","The Big Lottery Fund",2005,3124,76536429,1070524,24499.4971190781
"child","The Big Lottery Fund",2006,3225,100922138,21534384,31293.6862015504
"child","The Big Lottery Fund",2007,2474,225747891,24622323,91248.1370250606
"child","The Big Lottery Fund",2008,2103,84202897.71,5168087,40039.4187874465
"child","The Big Lottery Fund",2009,1689,58039607,2805404,34363.2960331557
"child","The Big Lottery Fund",2010,1555,53075472.95,5e+06,34132.1369453376
"child","The Big Lottery Fund",2011,1860,74641816.47,1600000,40130.0088548387
"child","The Big Lottery Fund",2012,1924,103819100.13,25880000,53960.0312525988
"child","The Big Lottery Fund",2013,1818,86000465.96,3187605,47304.9867766777
"child","The Big Lottery Fund",2014,582,17411316.53,1065439,29916.3514261168
"child","The Big Lottery Fund",2015,1725,77440144,1134512,44892.8371014493
"child","The Big Lottery Fund",2016,2349,93696096,5770733,39887.6526181354
"child","The Big Lottery Fund",2017,1835,61515879,1812221,33523.6397820163
"child","The Wellcome Trust",2005,16,6421183,2212577,401323.9375
"child","The Wellcome Trust",2006,71,12054091,1457407,169775.929577465
"child","The Wellcome Trust",2007,106,41042487,3715112,387193.273584906
"child","The Wellcome Trust",2008,112,49932350,5496183,445824.553571429
"child","The Wellcome Trust",2009,71,22531072,4775296,317339.042253521
